如何清空实时目的地	如何取消实时目的地设置
预约完成率	怎么计算查询完成率
城市	滴滴专车支持的城市
空乘补偿	如何申请补偿
什么是荣誉司机	什么是奖牌权益
登高奖	奖励活动有哪些
空驶赔偿	如何申请补偿
乘客未迟到－在接驾的过程中乘客取消订单	如何申请补偿
银牌	什么是奖牌权益
一天可以拒接几单	指派模式拒单是否有影响
一倍	什么是动态调价
明天奖励活动	奖励活动有哪些
我怎么没有自动接单功能	系统自动接单
转账24小时未到账	提现到账时间
租聘公司分配	什么时候给我分配租赁公司
空驾驶	如何申请补偿
我可以参加新人奖吗	新人奖活动周期
好评有什么用	好评率有什么影响
空驶里程	如何申请补偿
4.7	星级如何评定
计费标准是什么	滴滴打车如何计费
我想换手机号可以吗	如何更改电话号码
司机端怎么进	客户端操作流程
奖励活动太少了	奖励活动有哪些
升级有什么好处	专车升级失败
快车可以坐几人	超载怎么处理
理赔问题	出现交通事故
车辆信息有误	如何更改资料
没到账也没退回	提现到账时间
司机多久算迟到	司机迟到
新人活动	新人奖活动周期
罚款咋办	滴滴是不是合法
我想换电话号码可以吗？	如何更改电话号码
4.9	星级如何评定
变更手机号和姓名	如何更改电话号码
自动付款怎么取消	免密支付的定义
时薪高	基本工资
怎么升级车况	专车升级失败
接到同一乘客	司机是否可以接同一乘客
有人么？	客服热线打不通
客人取现订单，我已经去接的路上	如何申请补偿
远距离接单	接单距离较远
怎么返回司机端	客户端操作流程
这两天广州查滴滴专车，所以我在休息没出车，自然就没有成交率了，而平台就不分青红皂白以成交率不达标而封我的号，试问广州查滴滴专车，如果被交委当非法营运扣车，抓人，罚款，平台负责吗？	成交率显示不正确
司机计费规则	滴滴打车如何计费
那些银行	提现支持的银行卡类型
时薪高是什么意思	基本工资
迈腾	加入专车需要的条件
扣费太多	你们的车费是怎么扣的
指派处罚	指派模式拒单是否有影响
完全没有订单	系统未播报订单
1.14超级任务12元未到帐，周师傅18684008665	未收到奖励
好评率跟星级有关系吗	好评率有什么影响
被乘客投诉怎么办	如何撤销投诉
空驶补偿怎么领	如何申请补偿
异地开车	异地车牌是否有奖励活动
直营司机	加盟车和自营车含义
快车可以做几个人	超载怎么处理
奖励不到	未收到奖励
为什么我不能用抢单模式	指派订单和抢单模式的区别
奖励不给	未收到奖励
预约单价格	什么是预约订单
迟到补贴	何时收取迟到费用
密集区域都没单	系统未播报订单
我想升级专车商务车 商业险都需要缴哪几项？	商业险的要求是什么
我的星级怎么才4.5	如何提升星级
空驶费补偿	如何申请补偿
公里数少了	计费错误
我想换suv.请问可以吗	如何更改车辆信息
您好，本人在2月19日完成订单数23笔，成交率是85，按奖励条件当天应得奖励180元，可在当晚12点结算后只得奖励98.23元，请平台核实我的奖励金额是否有误。本人电话为13522994928。	收到奖励金额不正确
手动接单和自动接单区别	系统自动接单
收入标准	你们的车费是怎么扣的
对公加盟	加盟车和自营车含义
限行接单被罚，有没有补偿	车辆限号能否服务
修改乘客评价	乘客评错星级，星级能否修改
蜜码忘了	登录密码忘记
计费单价	滴滴打车如何计费
我的资料是齐的	如何更改资料
宝马	滴滴专车的分类
乘客取消用车	乘客取消订单是否算取消率
怎样免责改派	改派有什么处罚
